Address,uint,int,ulong,long,hex
111,0,0,13440,13440,0x00003480
112,13440,13440,880808119,880808119,0x348010B7
113,4279,4279,280428544,280428544,0x10B70000
114,0,0,593,593,0x00000251
115,593,593,38862848,38862848,0x02510000
171,0,0,16641,16641,0x00004101
172,16641,16641,1090584576,1090584576,0x41010000
184,0,0,1,1,0x00000001
185,1,1,65536,65536,0x00010000
200,0,0,34048,34048,0x00008500
201,34048,-31488,2231369731,-2063597565,0x85000003
202,3,3,198892,198892,0x000308EC
203,2288,2288,149951372,149951372,0x08F0138C
204,5000,5000,327680000,327680000,0x13880000
205,0,0,2298,2298,0x000008FA
206,2301,2301,150798343,150798343,0x08FD0007
207,7,7,463743,463743,0x0007137F
208,4999,4999,327614470,327614470,0x13870006
209,7,7,458752,458752,0x00070000
210,0,0,2299,2299,0x000008FB
211,2297,2297,150536194,150536194,0x08F90002
212,2,2,136069,136069,0x00021385
213,5008,5008,328204292,328204292,0x13900004
214,5,5,327726,327726,0x0005002E
215,45,45,2949257,2949257,0x002D0089
216,137,137,8978626,8978626,0x008900C2
217,193,193,12648711,12648711,0x00C10107
218,261,261,17108720,17108720,0x01050EF0
219,3823,3823,250545029,250545029,0x0EEF0385
220,901,901,59047964,59047964,0x0385001C
221,29,29,1900544,1900544,0x001D0000
222,0,0,0,0,0x00000000
223,0,0,263,263,0x00000107
224,263,263,17236231,17236231,0x01070107
225,262,262,17170434,17170434,0x01060002
226,2,2,131097,131097,0x00020019
227,25,25,1638423,1638423,0x00190017
228,23,23,1507359,1507359,0x0017001F
229,31,31,2031706,2031706,0x001F005A
230,90,90,5898240,5898240,0x005A0000
231,0,0,593,593,0x00000251
232,593,593,38863036,38863036,0x025100BC
233,188,188,12320768,12320768,0x00BC0000
234,0,0,188,188,0x000000BC
235,188,188,12320958,12320958,0x00BC00BE
236,189,189,12386304,12386304,0x00BD0000
300,0,0,2,2,0x00000002
301,2,2,131072,131072,0x00020000
307,0,0,1,1,0x00000001
308,1,1,65537,65537,0x00010001
309,1,1,65537,65537,0x00010001
310,1,1,65536,65536,0x00010000
314,65535,-1,4294963199,-4097,0xFFFFEFFF
319,0,0,2300,2300,0x000008FC
320,2300,2300,150737800,150737800,0x08FC1388
